geneId	log2FC	logCPM	F	PValue	FDR
YDL243C	4.17413246718165	6.87915479477751	223.768786246844	1.02129911050613e-11	3.15040737382008e-10
YDL234C	1.3775982274232	7.84768902991975	61.9356579974068	2.73680370991589e-07	1.71058386827163e-06
YDL233W	1.33611099722316	5.6614618680694	22.9756526054834	0.000138839903813247	0.000425425577511376
YDL229W	-2.74079515268688	7.71493062992923	111.127790059215	3.26992147999934e-09	3.83612264901936e-08
YDL227C	-1.7415753582581	4.49309996497535	20.682746056767	0.000239122419172909	0.00069012546292941
YDL223C	3.64532468832608	9.37913654029204	531.904928495963	5.41238899185223e-15	1.13530271493092e-12
YDL222C	2.11938875037824	8.72979693966339	126.268439956151	1.17783054202742e-09	1.62113999012908e-08
YDL219W	-1.28365926392447	6.38246805399966	31.1297577712453	2.52698185293463e-05	9.32546997662857e-05
YDL218W	5.89826216473296	6.68143009987869	238.612573932295	5.90794766103886e-12	2.09332956314107e-10
YDL215C	2.29557123854864	9.20643895561891	252.928714594436	3.58829150127866e-12	1.41526856338984e-10
YDL214C	3.78090795633027	6.91222274690518	176.576165869179	7.51414696908408e-11	1.51554564253373e-09
YDL208W	-1.76699358269708	7.77784239133263	114.810286201021	2.52372266827718e-09	3.06625421143606e-08
YDL204W	2.15102360218543	9.04997661908631	250.521120707478	3.89485164359559e-12	1.5242240312698e-10
YDL198C	-1.18382347652843	5.84358931599984	18.975879155808	0.000366626162026611	0.00101188820719345
YDL191W	-1.77837494657427	9.02393165591049	202.286668854082	2.40141862082458e-11	5.88459777925426e-10
YDL189W	-1.11026022082686	6.47240807739047	28.8771033399759	3.92132463306067e-05	0.0001376400694496
YDL181W	1.95734040014608	8.86713998898676	129.153271832141	9.81576763473251e-10	1.38370659883165e-08
YDL174C	1.64758934393718	9.33406208864138	171.679774848475	9.49829206540926e-11	1.85854640264948e-09
YDL170W	-1.49644283019431	4.88592526621476	15.4261888750612	0.000958343051190073	0.00238630150068411
YDL169C	2.39023090348766	8.28509504805116	242.47954795702	5.14958717464234e-12	1.92888822455889e-10
YDL167C	-1.4420320848389	6.97983642545706	55.9754108078523	5.60894253100246e-07	3.17638170978152e-06
YDL158C	-1.32223641872982	5.02202026994016	19.1428324156234	0.000351293732305202	0.000975733226805338
YDL153C	-1.26601475400422	9.81663150768838	92.8094677758081	1.33964717569512e-08	1.2544838909545e-07
YDL150W	-1.32468842885597	7.06453893181348	61.3034122113352	2.9455302700303e-07	1.8150835177484e-06
YDL149W	1.47056764201488	7.79664276388375	88.2226698612407	1.97858043907559e-08	1.7495722024249e-07
YDL148C	-2.05091255681445	8.35831932053793	227.409536697657	8.90266464701688e-12	2.81238394029858e-10
YDL144C	1.05852821186699	7.48000900356697	31.2477596686595	2.4709098108093e-05	9.14428443746223e-05
YDL141W	-1.11678987452895	5.75877543081056	19.1176961085311	0.000353555849958458	0.00098149649400855
YDL140C	1.18735999345864	8.84864496670573	50.9773562207761	1.07284454043727e-06	5.60358244029187e-06
YDL137W	1.27212456501073	9.04747037973615	99.4207402012832	7.8508566951711e-09	7.93254190934051e-08
YDL136W	-2.44992364771835	7.69406877966048	200.090086334048	2.63308136256829e-11	6.33388929601289e-10
YDL130W-A	1.92005697740732	9.82710301209176	156.164964864591	2.08188747709928e-10	3.57948128849463e-09
YDL130W	-1.85219730563711	8.82274801476118	154.688175410315	2.25150681504349e-10	3.821003798734e-09
YDL129W	-2.07597796762817	6.75705244982037	105.638685777164	4.87937566825903e-09	5.28666239759304e-08
YDL127W	-1.26746459397005	4.98711447362834	14.7539989863932	0.00116399447871489	0.00282985027648627
YDL126C	1.1652940214125	10.4895221296569	69.2821615298344	1.21349300867833e-07	8.46217731051748e-07
YDL125C	1.367394711912	8.20505779684217	19.0428410160663	0.000360388929527779	0.000996771912681263
YDL124W	1.43335237274196	10.2127388170547	136.394465050028	6.30820894135194e-10	9.44483631060248e-09
YDL121C	-1.01998843511908	8.7160995232003	44.2563984341833	2.77930624765045e-06	1.30714636436583e-05
YDL112W	-1.25513166665156	6.41536166524574	32.4837308255928	1.95979245937404e-05	7.39895727642728e-05
YDL110C	1.5845102792342	8.17093820638669	115.955129797409	2.33188447739151e-09	2.85954515007796e-08
YDL104C	1.13051952504513	4.65728342162441	9.46286291400553	0.00641002711566371	0.012751965931161
YDL097C	1.34059603315301	8.32376819781717	57.9859599767152	4.37518308815271e-07	2.56638256311776e-06
YDL089W	1.91868404022115	6.13674253040527	49.4315144761131	1.32393788070669e-06	6.72745178917238e-06
YDL085W	3.1856011913744	7.74482760061769	271.587834745869	1.94651735892169e-12	8.65045511032657e-11
YDL083C	-3.2155936380929	8.15880246393749	442.732349116967	2.74337028289733e-14	3.34563575895665e-12
YDL082W	-2.81762867702425	9.04517818007536	425.786727313242	3.86902692591718e-14	4.14064840806321e-12
YDL081C	-1.59231897625535	7.8248943185964	107.817906384065	4.15375499265395e-09	4.6345300386122e-08
YDL079C	-1.03406465287652	9.11960766799183	19.281895693358	0.000339066222115558	0.000945778334454247
YDL078C	1.01269607484265	7.57430646386905	27.5891798246199	5.09166636984136e-05	0.000173719573477216
YDL075W	-2.3793318479033	9.10599380755796	275.052964862477	1.74511338553678e-12	7.88911602909902e-11
snR63	1.5065074191532	4.90770396335688	16.3118417155585	0.000746563260229321	0.00191535114317151
YDL072C	1.38838865616377	7.7802172352421	73.1929939350564	8.09276343839466e-08	5.98567721734014e-07
YDL067C	1.12874275179142	8.67646509211745	63.5318939955094	2.27918893449727e-07	1.45756911859801e-06
YDL063C	-2.79839640278025	4.84857298004351	64.5544867964138	2.0309445449168e-07	1.32137384535281e-06
YDL061C	-2.05371677797947	8.31181895328017	122.828651836947	1.47087761508599e-09	1.95768584099262e-08
YDL060W	-1.45392756672818	6.25172949690404	43.8060231705243	2.97335262916619e-06	1.38557420411322e-05
YDL051W	-1.24157168881946	7.85287426276909	76.5793863356453	5.77838298230662e-08	4.45615299400234e-07
YDL049C	1.81847044158274	6.52559481308544	67.0713490483405	1.5383702211808e-07	1.04227563822637e-06
YDL048C	-1.62892800223847	9.26534524525929	135.09870738026	6.81698161562081e-10	1.01269834539137e-08
YDL043C	-1.10035522143452	5.16951502168801	12.0761007895557	0.00264506576584824	0.00584030521099291
YDL040C	-1.0427292450043	7.30820002486309	40.8474755400088	4.69231945284696e-06	2.08706727826374e-05
YDL037C	-3.12527883170649	5.29153431962744	99.6436559492083	7.71477905873283e-09	7.82520336247485e-08
YDL035C	1.50195897628491	5.73648738935362	15.4165656651272	0.000960984896892571	0.0023917440907948
YDL029W	1.00016066237044	6.84879441848321	25.3826885656485	8.11272953786945e-05	0.00026180402274823
YDL024C	1.21789346924493	5.32647325119556	14.020180259781	0.00144651585937445	0.00344171014816679
YDL020C	1.4531278895588	9.24195826064225	132.273542313237	8.09176268748786e-10	1.16895877501891e-08
YDL019C	1.37939225201839	8.0746679003893	69.4779786597373	1.18861135722677e-07	8.33299192152028e-07
YDL014W	-2.75282358675483	7.56008187278617	229.650821591211	8.18934126128799e-12	2.66738543939094e-10
YDL003W	-1.2671778534877	5.32088103116613	13.8335737998495	0.00153003968133823	0.00362891365397453
YDR003W	1.04861233476373	7.46385721661562	36.788270272708	9.13087959925765e-06	3.78815922614771e-05
YDR009W	2.30202297440429	5.07704393618916	26.5642190294706	6.30283535573932e-05	0.000210121224446898
YDR012W	-1.89401580975913	6.67505336277997	67.8530357077233	1.41360442417165e-07	9.67746945216206e-07
YDR014W-A	2.87005626428767	5.75592501678801	82.2159207323125	3.38581397086877e-08	2.7742513223806e-07
YDR018C	2.08617370900622	5.57725396280439	32.9775011447521	1.78941490707212e-05	6.8544132744238e-05
YDR020C	-1.91162676222774	5.25134833420241	34.4998364221625	1.35947059011513e-05	5.37231633350696e-05
YDR021W	-2.2870345267663	6.29762497199971	108.872410831331	3.84629170703129e-09	4.37526110882257e-08
YDR022C	1.29407540058439	7.95524884607821	68.626737483558	1.30107395429274e-07	9.0010973829962e-07
YDR023W	-1.58460772216662	8.57414497741241	136.358436295632	6.32177258776024e-10	9.44483631060248e-09
YDR025W	-2.17715338715344	9.61102014171306	257.391792556923	3.08829925916457e-12	1.24621760783366e-10
YDR028C	1.71386641798914	7.00194684210463	68.2027069252964	1.36146229111858e-07	9.38174540686706e-07
YDR031W	1.22186334229505	6.29520724583722	30.1800471020276	3.03338395996301e-05	0.000109628294183639
YDR032C	2.05324991161436	7.98623905701998	180.016869910246	6.39580210015357e-11	1.34697133386367e-09
YDR033W	-1.20874873187801	7.28434130871366	45.4434386922732	2.33190144089849e-06	1.11675718320289e-05
YDR034W-B	2.87000304267692	7.12991642093943	148.946329869536	3.07302082222987e-10	4.95843728977643e-09
YDR035W	-1.04271334570734	7.69237589615561	54.6840256331217	6.60325218956592e-07	3.66816255106818e-06
YDR037W	-2.95454066083836	8.51739647804263	392.880835340058	7.84527531728158e-14	7.34653995782582e-12
YDR040C	-1.60771648399047	5.4560711944879	19.6733746209097	0.000307112898279747	0.000864930203318472
YDR044W	-1.65109385015839	5.89264055323819	39.6727401804449	5.66115270420114e-06	2.47598705428113e-05
YDR045C	-1.10222151918065	5.3088434711723	9.69609443864921	0.00589997619345631	0.0118952230520895
YDR046C	-1.63844574548908	7.32923982361512	85.2495068579026	2.5711215338456e-08	2.17402508835721e-07
YDR054C	1.28231245450283	7.54260635625979	51.5702055553703	9.909728895936e-07	5.21753196087233e-06
YDR055W	2.12816103780569	9.37613543428609	239.457634779498	5.73220119523624e-12	2.05888103204239e-10
YDR058C	2.17191424303081	5.39307803042414	34.2361328120669	1.4249022297451e-05	5.58877134837942e-05
YDR059C	2.59913079158299	7.27328886724252	158.877041244441	1.80607492789262e-10	3.16757756584243e-09
YDR060W	-2.23471755337905	8.3258156466457	166.029836498862	1.25430414259785e-10	2.33247195878834e-09
YDR064W	-2.26332480098658	8.81831492405172	242.121946684279	5.21497838190864e-12	1.93952813012262e-10
YDR069C	1.09397388181264	7.43837028483275	43.7815820083692	2.98430537553739e-06	1.38615565892986e-05
YDR070C	2.90638293876181	9.13394777693179	211.783605192451	1.62939627767955e-11	4.47358852363955e-10
YDR077W	1.62184088065135	12.2130803412772	133.280110243675	7.60951730228812e-10	1.12090754868536e-08
YDR083W	-1.73010157716079	8.18390888228834	150.697380923186	2.79176510143867e-10	4.5893467686346e-09
YDR085C	1.63712971432267	8.67609238248936	143.889916682689	4.07806497580296e-10	6.48041597973052e-09
YDR087C	-2.56591329770049	6.91174628314646	140.557156665673	4.93832005500278e-10	7.57209075100426e-09
YDR091C	-1.78585445847339	6.26714213907162	67.0046293768161	1.54957271516994e-07	1.04851087978725e-06
YDR093W	-1.0287902412001	6.89205893528475	25.7728712152277	7.45799039646752e-05	0.000244435635244223
YDR097C	-1.03924668214241	6.28739937167918	21.5007229160057	0.000196215788668559	0.000581002595018592
YDR101C	-2.03363655801799	6.67675018510205	112.949746392511	2.87396097733382e-09	3.43304131324341e-08
YDR104C	1.42396462402322	6.59878321384989	45.0847302094824	2.45804728449786e-06	1.16796182931116e-05
YDR106W	-1.42235501441566	4.58262199455449	12.6314407233433	0.00221650368250846	0.00501417994491038
YDR111C	1.85830845844886	6.48873513434173	67.981968475677	1.3941247409535e-07	9.56909704392688e-07
YDR120C	-1.17079365578349	6.33244446294319	28.1697988281369	4.52187053116775e-05	0.000156519399771906
YDR125C	1.51094968618152	7.88846246209163	73.1139945640864	8.15783219936235e-08	6.025305923022e-07
YDR126W	-1.46450228814936	4.87055223430476	17.3478491473735	0.000562328808102704	0.00147960475147545
YDR127W	-1.10644183740663	6.83797990809438	37.5280120716945	8.05785547991694e-06	3.38059180217016e-05
YDR144C	-3.2649608229734	4.54905757787459	59.8600162354048	3.49150762435549e-07	2.10212008979566e-06
YDR146C	-1.18862847303442	5.27778760169653	17.0504881460086	0.000609415203087574	0.00158756747391517
YDR148C	1.47569990549429	7.9630124737409	100.820026166329	7.03865018472127e-09	7.25160738087983e-08
YDR151C	-1.27624491780731	7.10662655816652	60.4841361027633	3.24273729210693e-07	1.97272788396853e-06
YDR158W	-2.21955548976875	10.0085019839905	276.493827576404	1.66826392430278e-12	7.60728349482067e-11
YDR161W	-2.00379968024756	6.35031457139462	94.0901199921805	1.20493862662892e-08	1.14676917568821e-07
YDR165W	-2.44280729847103	6.7303090495921	147.705458132172	3.2913440829526e-10	5.29441974570658e-09
YDR184C	-2.36672219101083	8.36037462244519	226.273486937215	9.29034724700392e-12	2.89991553352908e-10
YDR185C	-2.04746151799587	5.89736547764867	71.1996323456635	9.92657326780715e-08	7.14059673750078e-07
YDR211W	-1.13826225792913	6.1504683716885	22.3060752198526	0.000162177642756042	0.000490744119222553
YDR213W	-1.3960733187679	7.638535801741	59.9985862684279	3.43449783766254e-07	2.07017317939108e-06
YDR218C	4.60898879662377	6.14749943166458	107.254962675214	4.32898630870209e-09	4.80957716161732e-08
YDR222W	-3.28861477141582	4.9931102777723	60.3141559413086	3.30848271693741e-07	2.00574374192136e-06
YDR223W	1.52209740910702	7.09587148707991	65.8203566028333	1.76426737997262e-07	1.16668576804242e-06
YDR227W	1.13510933784333	7.09608156726985	36.4191054736352	9.72500051110582e-06	4.00297509264042e-05
YDR233C	-1.61268628050527	9.18407185305212	151.632811608603	2.65330518244388e-10	4.40314315719484e-09
YDR234W	-2.75048269155818	5.96610790689117	97.9775430531788	8.79900078289001e-09	8.75559015284159e-08
YDR248C	1.03223437574933	5.45137733672593	12.9861783511221	0.00198356090251748	0.00454562568553255
YDR249C	-1.13901735539257	5.88619098236539	23.2329418313067	0.000130886280150468	0.000403625117365758
YDR256C	5.37932179184137	7.2728556556783	370.771931127161	1.30329245734672e-13	1.12040420431577e-11
YDR257C	-1.04776215277964	5.76662916664678	16.7845799098676	0.000655261063625449	0.00169437328286581
YDR263C	1.34244570030228	4.51172003604733	10.2664453573354	0.00483366754348971	0.00998729416787236
YDR264C	1.01305635111655	7.6497973442449	46.7452811157472	1.93093392091736e-06	9.47223337819518e-06
YDR270W	1.30458458761326	8.12627462928998	56.903951304156	4.99678769838849e-07	2.88580998792392e-06
YDR271C	-2.4716360219711	4.40632229462137	35.0513103737295	1.23314808691118e-05	4.91762763630465e-05
YDR272W	1.0836309065988	8.45016434767816	67.770986773929	1.42615785435778e-07	9.75068029759085e-07
YDR273W	1.53522617986244	5.84931010400672	35.3320252777842	1.17389515070929e-05	4.69558060283717e-05
YDR275W	1.96126099277904	7.27938911649365	123.789478319105	1.38161376143306e-09	1.86251479818894e-08
YDR277C	-1.10455689344443	7.91844590752148	66.240929678937	1.68445754261952e-07	1.12516319373384e-06
YDR281C	2.09194543536285	7.03253613493032	86.1627594597292	2.37043874103592e-08	2.05125095016376e-07
YDR282C	1.2719077780022	6.30237750063082	24.9744686259519	8.86688755985941e-05	0.000283178796369688
YDR286C	1.69699165898208	4.95019292606996	18.722360745041	0.000391352504534262	0.00107167234139826
YDR287W	1.21606113760193	7.26468519192833	45.4479949466987	2.33034607572147e-06	1.11675718320289e-05
YDR293C	1.54279089782798	7.95998891789239	81.1536018237796	3.73585387999349e-08	3.02327434362436e-07
YDR297W	-2.47620123672098	6.00103476991255	108.509306595309	3.94921645726902e-09	4.45313261905463e-08
YDR298C	1.90381956493701	7.12317227633474	93.2012742477469	1.29673897020236e-08	1.21865576339448e-07
YDR299W	-2.07556300056349	9.24277706437263	199.104171383024	2.74503494263983e-11	6.57304257497867e-10
YDR300C	-2.20045304076284	6.31413424947033	88.7419329783429	1.89153313929781e-08	1.68693873851662e-07
YDR309C	-1.77649753067239	4.95875537463589	22.5934754999043	0.00015166475210648	0.000460793719609722
YDR310C	1.04056811119941	7.2276026851691	25.7420324467812	7.50754290086361e-05	0.000245599220038233
YDR320C-A	1.30914772141312	5.81987064824735	21.837658869866	0.000181093107084893	0.000540804244620261
YDR321W	-1.3911120235843	6.26005561060597	29.8251161495135	3.25079482128391e-05	0.000116301989593726
YDR322C-A	1.35987590820878	7.63515667841611	71.7413878088011	9.38631144936586e-08	6.79859354150201e-07
YDR324C	-1.62893936655622	5.65126385637376	28.3612309965504	4.34982883264631e-05	0.000151363652278681
YDR329C	1.22118842887092	7.69354651551652	57.6370136326621	4.5657390976895e-07	2.66622893410732e-06
YDR330W	1.08049324186348	7.671611376072	44.274831711649	2.77166922591397e-06	1.30589698299127e-05
YDR334W	1.27098520069889	7.43454350206928	38.4769750581061	6.88093563178078e-06	2.93362816691532e-05
YDR336W	-1.11260096087106	5.23609113040065	14.577741146227	0.00122575705924789	0.00295942450216203
YDR339C	-1.02544562139571	7.3293840962673	36.2755836306577	9.96746372158553e-06	4.07942965577047e-05
YDR341C	-1.26350122073078	7.43036233902322	58.4018955571048	4.15948307530352e-07	2.44807286721568e-06
YDR342C	1.35212922564887	7.89938622420087	57.5193187138122	4.63207370021873e-07	2.69895494266078e-06
YDR345C	-3.96552708252459	7.49556848028251	406.860371789714	5.77134284079058e-14	5.67500391367902e-12
YDR352W	-1.21532201245574	5.08001940637914	15.7747410725308	0.00086789883669901	0.00218721332711865
YDR357C	1.25438600185245	7.61858332759186	50.6862799676051	1.11576773320343e-06	5.78742432534005e-06
YDR365C	-1.63030591899265	8.41037007286627	154.274490825655	2.3017299883745e-10	3.89363614807608e-09
YDR368W	1.38869421794773	6.44400840152224	37.8325649217864	7.65741770228607e-06	3.22793395745886e-05
YDR377W	1.44551936487842	10.8823233708198	115.889322014501	2.34246244208494e-09	2.86337367046466e-08
YDR380W	3.62189700478548	8.56751984623213	344.723231661585	2.46302839193573e-13	1.76933162839876e-11
YDR381C-A	1.14710118663567	6.46884243076518	26.5816735162972	6.2797048373886e-05	0.00020948328350678
YDR382W	-1.83377684938098	7.83956862843266	127.409715675274	1.09541333834518e-09	1.5318260123419e-08
YDR384C	2.51546494296733	8.66260735414474	229.306146731112	8.29479048795677e-12	2.68505440239786e-10
YDR385W	-1.71456014849665	8.53454457355852	150.464430494524	2.82747975637103e-10	4.63353245075302e-09
YDR395W	-1.09803550615636	7.13820843720241	37.2129153252967	8.49678386369003e-06	3.5447203326325e-05
YDR398W	-2.08440460942892	4.98311500272486	39.417379165661	5.89997063923929e-06	2.55909396461297e-05
YDR399W	-1.57057910607905	7.36809098915466	76.6693483766138	5.72786235204104e-08	4.43022273954325e-07
